#{"t_start": 1634011350.8532403, "env_id": null}
r,l,t
-0.1,3,174.102215
-0.1,4,174.102247
0.0,5,177.005845
-0.1,3,177.005932
-0.1,2,177.005967
0.0,2,177.005994
-0.1,1,177.006017
-0.1,2,177.006036
-0.1,1,177.006052
-0.1,2,177.006068
-0.1,1,179.629687
-0.1,4,179.629847
-0.1,1,179.629884
-0.1,1,179.631038
-0.1,1,181.88504
-0.1,1,181.8852
-0.1,1,181.885239
-0.1,3,184.971764
-0.1,1,184.971869
-0.1,1,187.526509
-0.1,7,187.526612
0.0,4,187.52677
-0.1,6,187.526801
-0.1,1,187.526825
-0.1,6,189.982273
-0.1,1,189.982382
0.0,3,189.982414
-0.1,5,192.975082
-0.1,2,192.975195
-0.1,6,192.975227
0.0,3,196.11592
-0.1,3,196.116031
0.0,2,196.116065
-0.1,2,196.11609
-0.1,5,196.116114
-0.1,7,196.116137
-0.1,1,196.11616
-0.1,8,198.436942
-0.1,1,198.43709
-0.1,1,198.437139
-0.1,3,201.471002
-0.1,1,201.471126
-0.1,1,201.47116
-0.1,4,201.471188
0.0,5,201.471213
-0.1,3,201.471237
-0.1,2,201.471262
-0.1,3,204.565515
-0.1,1,204.565624
-0.1,1,204.565656
-0.1,1,204.565682
-0.1,2,204.565705
-0.1,1,204.565727
-0.1,3,204.56575
-0.1,3,204.565772
0.0,2,206.998129
-0.1,2,206.998246
-0.1,1,206.998282
-0.1,1,206.998309
-0.1,3,209.672513
-0.1,2,209.672609
-0.1,2,209.672636
-0.1,1,211.949837
-0.1,2,211.949942
-0.1,2,211.949969
-0.1,3,211.949988
0.0,6,211.950004
-0.1,2,214.528164
-0.1,4,214.52828
-0.1,4,217.482508
0.0,2,217.482621
-0.1,2,217.482655
-0.1,5,217.482682
-0.1,3,217.482707
-0.1,3,220.023408
-0.1,1,220.023524
-0.1,3,222.975479
-0.1,6,222.9756
-0.1,1,226.083597
0.0,4,226.083687
-0.1,3,226.08372
-0.1,1,226.083747
-0.1,3,226.083771
-0.1,1,229.221879
-0.1,3,229.221964
-0.1,1,232.282071
-0.1,2,232.282178
-0.1,7,232.282208
-0.1,2,232.282232
-0.1,1,232.282254
-0.1,5,232.282275
-0.1,7,232.282296
-0.1,1,235.203033
0.0,6,235.203149
-0.1,1,235.203181
-0.1,1,235.203207
-0.1,4,238.348431
-0.1,4,238.348552
-0.1,6,238.348587
-0.1,1,238.348614
-0.1,2,238.348641
-0.1,1,238.348665
-0.1,1,241.383428
-0.1,1,241.383543
-0.1,3,241.383578
-0.1,13,241.383604
-0.1,2,241.383628
-0.1,1,244.346203
0.0,4,244.346311
